,product_name,product_link,ingredient_name
0,Alpro Oat Long Life Drink,https://groceries.asda.com/product/oat-nut-drinks/alpro-oat-long-life-drink/910001362507,eggs
1,Staveley 12 Medium Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/staveley-12-medium-free-range-eggs/910000281482,eggs
2,Big & Fresh 10 Mixed Weight Eggs,https://groceries.asda.com/product/caged-eggs/big-fresh-10-mixed-weight-eggs/910001228389,eggs
3,ASDA 10 Big Eggs,https://groceries.asda.com/product/caged-eggs/asda-10-big-eggs/1000339099048,eggs
4,Staveley Large Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/staveley-large-free-range-eggs/35426600,eggs
5,Big Yolkers 10 Quality Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/big-yolkers-10-quality-free-range-eggs/1000383158385,eggs
6,Staveley 12 Large Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/staveley-12-large-free-range-eggs/910000281651,eggs
7,Staveley Very Large Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/staveley-very-large-free-range-eggs/35426599,eggs
8,ASDA Extra Special Free Range Golden Yolk Eggs,https://groceries.asda.com/product/free-range-eggs/asda-extra-special-free-range-golden-yolk-eggs/910002725763,eggs
9,The Happy Egg Co Free Range 6 Large Eggs,https://groceries.asda.com/product/free-range-eggs/the-happy-egg-co-free-range-6-large-eggs/910000045549,eggs
10,Purely Organic 10 Mixed Weight Eggs,https://groceries.asda.com/product/organic-eggs/purely-organic-10-mixed-weight-eggs/1000204779197,eggs
11,The Happy Egg Co Free Range 10 Large Eggs,https://groceries.asda.com/product/free-range-eggs/the-happy-egg-co-free-range-10-large-eggs/910003061500,eggs
12,ASDA Organic Free Range 6 Mixed Eggs,https://groceries.asda.com/product/organic-eggs/asda-organic-free-range-6-mixed-eggs/910000053377,eggs
13,ASDA 12 Large Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/asda-12-large-free-range-eggs/37519,eggs
14,ASDA 6 Large Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/asda-6-large-free-range-eggs/20510,eggs
15,ASDA 12 Medium Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/asda-12-medium-free-range-eggs/1049683,eggs
16,ASDA 6 Medium Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/asda-6-medium-free-range-eggs/20511,eggs
17,JUST ESSENTIALS by ASDA 15 Eggs,https://groceries.asda.com/product/caged-eggs/just-essentials-by-asda-15-eggs/22006,eggs
18,Clover Spread,https://groceries.asda.com/product/spreads/clover-spread/37522,eggs
19,Lurpak Slightly Salted Spreadable Blend of Butter and Rapeseed Oil,https://groceries.asda.com/product/spreadable-butter/lurpak-slightly-salted-spreadable-blend-of-butter-and-rapeseed-oil/21197,eggs
20,ASDA Brilliantly Buttery 1kg,https://groceries.asda.com/product/spreads/asda-brilliantly-buttery-1-kg/1000005208222,eggs
21,"The Happy Egg Co Free Range, 10 Medium Eggs",https://groceries.asda.com/product/free-range-eggs/the-happy-egg-co-free-range-10-medium-eggs/1000383183446,eggs
22,Cadbury Mini Eggs Dessert 75g,https://groceries.asda.com/product/chocolate-caramel-desserts/cadbury-mini-eggs-dessert-75-g/1000376780316,eggs
23,Two Chicks Liquid Egg White,https://groceries.asda.com/product/cooking-baking/two-chicks-liquid-egg-white/1000344295936,eggs
24,ASDA Squirty Cream 250ml,https://groceries.asda.com/product/squirty-cream/asda-squirty-cream-250-ml/910001050370,eggs
25,"Freshlay Golden Yolks, Free Range, 10 Mixed Weight Eggs",https://groceries.asda.com/product/free-range-eggs/freshlay-golden-yolks-free-range-10-mixed-weight-eggs/1000383183387,eggs
26,Elmlea Double Alternative to Cream,https://groceries.asda.com/product/cream-custard-alternatives/elmlea-double-alternative-to-cream/1000298097138,eggs
27,ASDA Hard Boiled Eggs,https://groceries.asda.com/product/snacks/asda-hard-boiled-eggs/1000383176165,eggs
28,ASDA Reduced Fat Spreadable Slightly Salted 500g,https://groceries.asda.com/product/spreadable-butter/asda-reduced-fat-spreadable-slightly-salted-500-g/910001552260,eggs
29,Country Life British Spreadable,https://groceries.asda.com/product/spreadable-butter/country-life-british-spreadable/1322112,eggs
30,ASDA Ready Rolled Puff Pastry,https://groceries.asda.com/product/pastry-dough/asda-ready-rolled-puff-pastry/1000383178912,eggs
31,Cravendale Filtered Fresh Whole Milk Fresher for Longer,https://groceries.asda.com/product/whole-milk/cravendale-filtered-fresh-whole-milk-fresher-for-longer/32088740,eggs
32,I Can't Believe It's Not Butter Original Spread,https://groceries.asda.com/product/spreads/i-cant-believe-its-not-butter-original-spread/1000314973994,eggs
33,JUST ESSENTIALS by ASDA Semi Skimmed Long Life Milk,https://groceries.asda.com/product/long-life-milk/just-essentials-by-asda-semi-skimmed-long-life-milk/1000383159051,eggs
34,Lurpak Lighter Spreadable Blend of Butter and Rapeseed Oil,https://groceries.asda.com/product/spreadable-butter/lurpak-lighter-spreadable-blend-of-butter-and-rapeseed-oil/910003246948,eggs
35,Clover Light Spread,https://groceries.asda.com/product/spreads/clover-light-spread/80735214,eggs
36,ASDA Ready Rolled Pizza Dough,https://groceries.asda.com/product/pastry-dough/asda-ready-rolled-pizza-dough/1000005208161,eggs
37,ASDA Egg & Cress on Malted Bread,https://groceries.asda.com/product/sandwiches-salads-sushi/asda-egg-cress-on-malted-bread/1000383175902,eggs
38,JUST ESSENTIALS by ASDA Skimmed Long Life Milk,https://groceries.asda.com/product/long-life-milk/just-essentials-by-asda-skimmed-long-life-milk/37666,eggs
39,Anchor Spreadable Blend of Butter and Rapeseed Oil 400g,https://groceries.asda.com/product/spreadable-butter/anchor-spreadable-blend-of-butter-and-rapeseed-oil-400-g/1000383173757,eggs
40,Lurpak Slightly Salted Lighter 400g,https://groceries.asda.com/product/spreadable-butter/lurpak-slightly-salted-lighter-400-g/1000383173694,eggs
41,Jus-Rol Shortcrust Pastry Ready Rolled Sheet,https://groceries.asda.com/product/pastry-dough/jus-rol-shortcrust-pastry-ready-rolled-sheet/910000468850,eggs
42,Oatly Oat Drink Whole,https://groceries.asda.com/product/oat-nut-drinks/oatly-oat-drink-whole/1000077580061,eggs
43,BAKE by ASDA Best For Baking Cakes & Sponges Spread 500g,https://groceries.asda.com/product/cooking-baking/bake-by-asda-best-for-baking-cakes-sponges-spread-500-g/910002967644,eggs
44,ASDA British Milk Filtered Semi Skimmed 2 Litres,https://groceries.asda.com/product/filtered-milk/asda-british-milk-filtered-semi-skimmed-2-litres/1000383143691,eggs
45,Clover Light Spread,https://groceries.asda.com/product/spreads/clover-light-spread/910000289833,eggs
46,ASDA British Milk Whole 2 Pints,https://groceries.asda.com/product/whole-milk/asda-british-milk-whole-2-pints/23421,eggs
47,Stork Baking Spread alternative to Butter,https://groceries.asda.com/product/spreads/stork-baking-spread-alternative-to-butter/1000173435854,eggs
48,ASDA Ready Rolled Shortcrust Pastry,https://groceries.asda.com/product/pastry-dough/asda-ready-rolled-shortcrust-pastry/1000383179761,eggs
49,ASDA Olive Spread,https://groceries.asda.com/product/olive-spreads/asda-olive-spread/1000383110686,eggs
50,Blue Diamond Long Life Almond Breeze Drink Unsweetened,https://groceries.asda.com/product/dairy-free-chilled-food/blue-diamond-long-life-almond-breeze-drink-unsweetened/910000982688,eggs
51,Flora Buttery Spread with Natural Ingredients 450g,https://groceries.asda.com/product/spreads/flora-buttery-spread-with-natural-ingredients-450-g/1000383209199,eggs
52,Britannia Finest Beef Dripping,https://groceries.asda.com/product/cooking-baking/britannia-finest-beef-dripping/910001814175,eggs
53,ASDA Fresh Double Cream 600ml,https://groceries.asda.com/product/single-double-whipping/asda-fresh-double-cream-600-ml/48639906,eggs
54,Jus-Rol Cinnamon Swirls 320g,https://groceries.asda.com/product/pastry-dough/jus-rol-cinnamon-swirls-320-g/1000383208937,eggs
55,ASDA Light Squirty Cream 250ml,https://groceries.asda.com/product/squirty-cream/asda-light-squirty-cream-250-ml/910001050490,eggs
56,ASDA Strawberry Flavoured Milk 1 Litre,https://groceries.asda.com/product/milk-drinks/asda-strawberry-flavoured-milk-1-litre/1000383186649,eggs
57,Anchor Salted Butter,https://groceries.asda.com/product/block-butter/anchor-salted-butter/1000383173988,eggs
58,ASDA British Milk Whole 4 Pints,https://groceries.asda.com/product/whole-milk/asda-british-milk-whole-4-pints/20502,eggs
59,ASDA British Milk Semi Skimmed 4 Pints,https://groceries.asda.com/product/semi-skimmed-milk/asda-british-milk-semi-skimmed-4-pints/20504,eggs
60,ASDA British Milk Semi Skimmed 6 Pints,https://groceries.asda.com/product/semi-skimmed-milk/asda-british-milk-semi-skimmed-6-pints/20506,eggs
61,Cravendale Filtered Fresh Semi Skimmed Milk Fresher for Longer,https://groceries.asda.com/product/semi-skimmed-milk/cravendale-filtered-fresh-semi-skimmed-milk-fresher-for-longer/36888,eggs
62,ASDA British Milk Semi Skimmed 2 Pints,https://groceries.asda.com/product/semi-skimmed-milk/asda-british-milk-semi-skimmed-2-pints/23423,eggs
63,Cravendale Filtered Fresh Whole Milk Fresher for Longer,https://groceries.asda.com/product/whole-milk/cravendale-filtered-fresh-whole-milk-fresher-for-longer/36887,eggs
64,George Home Stainless Steel Garlic Press,https://groceries.asda.com/product/cooking-utensils-food-preparation/george-home-stainless-steel-garlic-press/1000061868254,eggs
65,George Home Tongs,https://groceries.asda.com/product/serveware-tableware/george-home-tongs/1000229763144,eggs
66,Joie Egg Slicer,https://groceries.asda.com/product/cooking-utensils-food-preparation/joie-egg-slicer/1000158056023,eggs
67,George Home Can Opener,https://groceries.asda.com/product/cooking-utensils-food-preparation/george-home-can-opener/1000229763102,eggs
68,George Home Digital Grey Bowl Scale,https://groceries.asda.com/product/weighing-scales-timers/george-home-digital-grey-bowl-scale/1000307357508,eggs
69,George Home Black Hand Blender,https://groceries.asda.com/product/food-mixers-blenders-juicers/george-home-black-hand-blender/1000136120688,eggs
70,Taylor's Eye Witness Digital Kitchen Timer,https://groceries.asda.com/product/weighing-scales-timers/taylors-eye-witness-digital-kitchen-timer/1000310254257,eggs
71,Ninja Blender & Smoothie Maker QB3001UKS,https://groceries.asda.com/product/food-mixers-blenders-juicers/ninja-blender-smoothie-maker-qb-3001-uks/1000263787819,eggs
72,George Home Metal Meat Mallet,https://groceries.asda.com/product/cooking-utensils-food-preparation/george-home-metal-meat-mallet/1000229562752,eggs
73,Knorr The Ham Cube 8 Cubes,https://groceries.asda.com/product/stock/knorr-the-ham-cube-8-cubes/36643,ham
74,ASDA Wafer Thin Honey Roast Ham Slices,https://groceries.asda.com/product/ham-pork-slices/asda-wafer-thin-honey-roast-ham-slices/910002154365,ham
75,ASDA Finely Sliced Honey Roast Dry Cured Ham,https://groceries.asda.com/product/ham-pork-slices/asda-finely-sliced-honey-roast-dry-cured-ham/1000246055064,ham
76,ASDA Sliced Cured Ham On The Bone,https://groceries.asda.com/product/ham-pork-slices/asda-sliced-cured-ham-on-the-bone/1000246055154,ham
